Date,META,MSFT,NVDA,TSLA
2025-03-31,575.0594482421875,373.3883056640625,108.3603286743164,259.1600036621094
2025-04-01,584.6776123046875,380.15203857421875,110.13001251220703,268.4599914550781
2025-04-02,582.6123046875,380.1023254394531,110.39995574951172,282.760009765625
2025-04-03,530.4203491210938,371.12042236328125,101.78153228759766,267.2799987792969
2025-04-04,503.591064453125,357.9212341308594,94.29288482666016,239.42999267578125
2025-04-07,515.0850219726562,355.9517822265625,97.62227630615234,233.2899932861328
2025-04-08,509.29815673828125,352.66937255859375,96.28252410888672,221.86000061035156
2025-04-09,584.4481811523438,388.4077453613281,114.30924987792969,272.20001220703125
2025-04-10,545.0572509765625,379.3165283203125,107.55047607421875,252.39999389648438
2025-04-11,542.3433837890625,386.3786926269531,110.90986633300781,252.30999755859375
2025-04-14,530.2807006835938,385.7420654296875,110.68990325927734,252.35000610351562
2025-04-15,520.3432006835938,383.6731872558594,112.17963409423828,254.11000061035156
2025-04-16,501.176513671875,369.6284484863281,104.47103881835938,241.5500030517578
2025-04-17,500.348388671875,365.8188781738281,101.4715805053711,241.3699951171875
2025-04-21,483.56634521484375,357.2050476074219,96.89241790771484,227.5
2025-04-22,499.151123046875,364.864013671875,98.87205505371094,237.97000122070312
2025-04-23,519.0960693359375,372.39361572265625,102.69136047363281,250.74000549316406
2025-04-24,531.947021484375,385.2347717285156,106.41067504882812,259.510009765625
2025-04-25,546.0350952148438,389.7605285644531,110.98986053466797,284.95001220703125
2025-04-28,548.49951171875,389.0741882324219,108.71026611328125,285.8800048828125
2025-04-29,553.1889038085938,391.9388732910156,109.00021362304688,292.0299987792969
2025-04-30,547.7611694335938,393.15234375,108.90023040771484,282.1600036621094
2025-05-01,570.9188232421875,423.1316223144531,111.5897445678711,280.5199890136719
2025-05-02,595.6728515625,432.9589538574219,114.4792251586914,287.2099914550781
2025-05-05,597.917724609375,433.8442077636719,113.79934692382812,280.260009765625
2025-05-06,585.9846801757812,430.99945068359375,113.51940155029297,275.3500061035156
2025-05-07,595.4632568359375,431.03924560546875,117.03875732421875,276.2200012207031
2025-05-08,596.6605834960938,435.83355712890625,117.34870910644531,284.82000732421875
2025-05-09,591.1530151367188,436.39056396484375,116.62882995605469,298.260009765625
2025-05-12,637.9871215820312,446.8643798828125,122.9776840209961,318.3800048828125
2025-05-13,654.5496826171875,446.74505615234375,129.9064178466797,334.07000732421875
2025-05-14,657.8721313476562,450.5247802734375,135.3154296875,347.67999267578125
2025-05-15,642.4270629882812,451.54119873046875,134.80552673339844,342.82000732421875
2025-05-16,638.89501953125,452.6772155761719,135.37542724609375,349.9800109863281
2025-05-19,638.9848022460938,457.26104736328125,135.54539489746094,342.0899963378906
2025-05-20,635.662353515625,456.56353759765625,134.35562133789062,343.82000732421875
2025-05-21,634.06591796875,450.983154296875,131.7760772705078,334.6199951171875
2025-05-22,635.1336059570312,453.26513671875,132.80589294433594,341.0400085449219
2025-05-23,625.64501953125,448.6015625,131.26617431640625,339.3399963378906
2025-05-27,640.8705444335938,459.0746765136719,135.47540283203125,362.8900146484375
2025-05-28,642.1277465820312,455.7563781738281,134.78553771972656,356.8999938964844
2025-05-29,643.5944213867188,457.0717468261719,139.1647491455078,358.42999267578125
2025-05-30,646.0288696289062,458.7458190917969,135.10548400878906,346.4599914550781
2025-06-02,669.3861083984375,460.3502197265625,137.35507202148438,342.69000244140625
2025-06-03,665.34521484375,461.3467102050781,141.19436645507812,344.2699890136719
2025-06-04,686.3976440429688,462.2435302734375,141.8942413330078,332.04998779296875
