Date,META,MSFT,NVDA,TSLA
2025-11-17,16501300,19092800,173628900,102214300
2025-11-18,25500600,33815100,213598900,80688600
2025-11-19,24744700,23245300,247246400,72047700
2025-11-20,20603000,26802500,343504800,113548800
2025-11-21,21052600,31769200,346926200,100460600
2025-11-24,23554900,34421000,256618300,96806400
2025-11-25,25213000,28019800,320600300,71915600
2025-11-26,15209500,25709100,183852000,63463000
2025-11-28,11033200,14386700,121332800,36252900
2025-12-01,13029900,23964000,188131000,57463600
2025-12-02,11640900,19562700,182632200,69336600
2025-12-03,11134300,34615100,165138000,87483000
2025-12-04,29874600,22318200,167364900,71906500
2025-12-05,21207900,22608700,143971100,56427500
2025-12-08,13161000,21965900,204378100,69165800
2025-12-09,12997100,14696100,144719700,62367400
2025-12-10,16910900,35756200,162785400,63257500
2025-12-11,13056700,24669200,182136600,55979500
2025-12-12,14016900,21248100,204274900,95656700
2025-12-15,15549100,23727700,164775600,114542200
2025-12-16,14309100,20705600,148588100,107608100
2025-12-17,15598500,24527200,222775500,106490400
2025-12-18,20260300,28573500,176096000,95168400
2025-12-19,49977100,70836100,324925900,103305400
2025-12-22,15659400,16963000,129064400,86916100
2025-12-23,8486800,14683600,174873600,58223600
2025-12-24,5627500,5855900,65528500,41285400
2025-12-26,7133800,8842200,139740300,58780700
2025-12-29,8506500,10893400,120006100,66263000
2025-12-30,9187500,13944500,97687300,59238500
2025-12-31,7940400,15601600,120100500,49078000
2026-01-02,13726500,25571600,148240500,85535400
2026-01-05,12213700,25250300,183529700,67940800
2026-01-06,11074400,23037700,176862600,89093800
2026-01-07,12846300,25564200,153543200,59828800
2026-01-08,11921700,18162600,172457000,57041100
2026-01-09,11634900,18491000,131327500,67331500
2026-01-12,14797200,23519900,137968500,61649600
2026-01-13,18030400,28545800,160128900,53719200
2026-01-14,15527900,28184300,159586100,57259500
2026-01-15,13076100,23225800,206188600,49465800
2026-01-16,17012500,34246700,187967200,60220600
2026-01-20,15169600,26130000,223345300,63187300
2026-01-21,14494700,37980500,200381000,68124000
2026-01-22,21394700,25349400,139636600,71546700
2026-01-23,22797700,38000200,142748100,56771400
2026-01-26,16327400,29291200,124799600,49397400
2026-01-27,13297400,29213900,143711600,37733100
2026-01-28,25709600,36875400,148552700,54857400
2026-01-29,59852900,128855300,171764400,81686100
2026-01-30,23744600,58566800,179489500,82626100
2026-02-02,14365200,42219900,165794100,58739500
2026-02-03,13760700,61424100,204019600,56886500
2026-02-04,16882800,45012400,207014100,74606900
2026-02-05,17131800,66289200,206312900,72819800
2026-02-06,18159300,53515300,231346200,62677100
2026-02-09,14837500,45480500,196387400,54484300
2026-02-10,10455800,44857900,136764800,64450200
2026-02-11,14323800,42491000,144192700,57362000
2026-02-12,14960100,40802400,189932500,61933400
2026-02-13,12316700,34041200,161647400,51351200
